country,latitude,longitude,value,type
Bangladesh,23.7597,89.646,7,incidents
Bangladesh,23.7601,90.4193,1,incidents
Bangladesh,23.7602,90.3509,1,incidents
Bangladesh,23.7626,90.3913,11,incidents
Bangladesh,23.7656,90.3879,19,incidents
Bangladesh,23.7667,89.4833,1,incidents
Bangladesh,23.7724,90.6369,1,incidents
Bangladesh,23.7728,90.3751,2,incidents
Bangladesh,23.7736,90.5693,2,incidents
Bangladesh,23.7769,88.6303,4,incidents
Bangladesh,23.7852,90.4387,2,incidents
Bangladesh,23.7866,90.3286,1,incidents
Bangladesh,23.7891,90.4086,3,incidents
Bangladesh,23.7931,90.3629,2,incidents
Bangladesh,23.8081,90.1433,1,incidents
Bangladesh,23.8244,90.5163,2,incidents
Bangladesh,23.8252,90.3666,2,incidents
Bangladesh,23.8363,90.4423,1,incidents
Bangladesh,23.8486,90.25,13,incidents
Bangladesh,23.8577,90.0096,2,incidents
Bangladesh,23.8613,89.242,3,incidents
Bangladesh,23.869,90.3942,3,incidents
Bangladesh,23.8724,91.2076,2,incidents
Bangladesh,23.8915,90.4023,1,incidents
Bangladesh,23.8964,90.3262,3,incidents
Bangladesh,23.9028,89.1194,16,incidents
Bangladesh,23.917,90.0752,1,incidents
Bangladesh,23.923,90.7177,3,incidents
Bangladesh,23.924,90.2114,3,incidents
Bangladesh,23.9309,90.579,1,incidents
Bangladesh,23.95,90.625,1,incidents
Bangladesh,23.9511,90.8687,2,incidents
Bangladesh,23.9746,91.1123,8,incidents
Bangladesh,23.9821,90.2948,1,incidents
Bangladesh,23.9984,90.4223,7,incidents
Bangladesh,24.0064,89.2372,6,incidents
Bangladesh,24.0144,91.2356,1,incidents
Bangladesh,24.0401,91.0117,2,incidents
Bangladesh,24.0532,89.5623,3,incidents
Bangladesh,24.0632,91.109,1,incidents
Bangladesh,24.0696,90.2221,1,incidents
Bangladesh,24.0782,89.6326,1,incidents
Bangladesh,24.1003,91.295,1,incidents
Bangladesh,24.1028,90.0984,1,incidents
Bangladesh,24.114,90.5615,4,incidents
Bangladesh,24.1457,90.7042,1,incidents
Bangladesh,24.1556,88.9653,1,incidents
Bangladesh,24.1768,89.5988,1,incidents
Bangladesh,24.1973,91.1947,1,incidents
Bangladesh,24.1978,88.8464,1,incidents
Bangladesh,24.1987,90.439,1,incidents
Bangladesh,24.2167,89.3667,3,incidents
Bangladesh,24.2316,90.0674,1,incidents
Bangladesh,24.2498,89.9166,7,incidents
Bangladesh,24.2703,90.3442,2,incidents
Bangladesh,24.2821,88.7585,1,incidents
Bangladesh,24.2981,89.7041,1,incidents
Bangladesh,24.3163,89.1851,1,incidents
Bangladesh,24.3166,88.952,1,incidents
Bangladesh,24.3198,90.1694,1,incidents
Bangladesh,24.3227,91.7118,1,incidents
Bangladesh,24.3232,90.6749,2,incidents
Bangladesh,24.3487,91.8144,3,incidents
Bangladesh,24.3654,88.8343,1,incidents
Bangladesh,24.374,88.6011,34,incidents
Bangladesh,24.3804,91.413,5,incidents
Bangladesh,24.4047,89.2585,1,incidents
Bangladesh,24.4111,88.9867,5,incidents
Bangladesh,24.4338,90.7847,2,incidents
Bangladesh,24.4417,88.6283,1,incidents
Bangladesh,24.4511,89.6704,1,incidents
Bangladesh,24.4577,89.708,3,incidents
Bangladesh,24.4604,89.8727,2,incidents
Bangladesh,24.4678,90.8705,1,incidents
Bangladesh,24.4889,91.7708,1,incidents
Bangladesh,24.4953,89.9701,1,incidents
Bangladesh,24.5026,89.1462,2,incidents
Bangladesh,24.5073,89.5273,2,incidents
Bangladesh,24.5186,91.3578,2,incidents
Bangladesh,24.5247,92.0357,2,incidents
Bangladesh,24.55,88.64,1,incidents
Bangladesh,24.5621,90.3813,1,incidents
Bangladesh,24.5632,89.9277,1,incidents
Bangladesh,24.5667,91.5167,2,incidents
Bangladesh,24.59,88.82,1,incidents
Bangladesh,24.5901,90.6692,2,incidents
Bangladesh,24.5903,88.2744,1,incidents
Bangladesh,24.6337,89.2304,1,incidents
Bangladesh,24.644,90.0129,1,incidents
Bangladesh,24.6456,90.8362,1,incidents
Bangladesh,24.6765,89.4159,1,incidents
Bangladesh,24.685,88.1564,1,incidents
Bangladesh,24.695,90.6039,1,incidents
Bangladesh,24.7513,89.8313,2,incidents
Bangladesh,24.7564,90.4065,1,incidents
Bangladesh,24.7666,89.4,1,incidents
Bangladesh,24.7733,90.5679,1,incidents
Bangladesh,24.7794,88.3008,2,incidents
Bangladesh,24.7864,91.36,1,incidents
Bangladesh,24.7989,88.7028,1,incidents
Bangladesh,24.8002,89.0417,2,incidents
Bangladesh,24.8042,88.9488,3,incidents
Bangladesh,24.8089,88.987,3,incidents
Bangladesh,24.8456,91.9615,1,incidents
Bangladesh,24.8471,89.3728,1,incidents
Bangladesh,24.853,89.3732,8,incidents
Bangladesh,24.8835,90.729,5,incidents
Bangladesh,24.8957,91.0084,1,incidents
Bangladesh,24.8971,88.2191,1,incidents
Bangladesh,24.899,91.872,12,incidents
